Original Points,Predicted Point,Loss
[1.         0.98006658],[1.         0.10429899],0.8757675851212157
[2.         0.92106099],[2.         0.56231142],0.3587495754643547
[3.         0.82533561],[3.        0.8576991],0.032363486365277305
[4.         0.69670671],[4.        0.9604244],0.26371768710806576
[5.         0.54030231],[5.        0.8400958],0.29979349561165103
[6.         0.36235775],[6.         0.59829462],0.23593687043195843
[7.         0.16996714],[7.         0.37884683],0.20887968671425608
[ 8.         -0.02919952],[8.         0.12472384],0.15392336678216326
[ 9.         -0.22720209],[ 9.         -0.09990462],0.12729747607453107
[10.         -0.41614684],[10.         -0.38899891],0.027147928550150635
[11.         -0.58850112],[11.         -0.67412287],0.08562174900739739
[12.         -0.73739372],[12.         -0.82864683],0.09125311219035315
[13.         -0.85688875],[13.         -0.91666938],0.059780628963538196
[14.         -0.94222234],[14.         -0.99000374],0.047781403918698784
[15.        -0.9899925],[15.         -1.00307164],0.013079139494256653
[16.         -0.99829478],[16.         -1.11852987],0.12023509014719158
[17.         -0.96679819],[17.         -1.10949827],0.14270007912529925
[18.         -0.89675842],[18.        -1.0158732],0.11911477911517931
[19.         -0.79096771],[19.         -0.89138388],0.10041616913048146
[20.         -0.65364362],[20.         -0.82169646],0.16805284096299455
