Original Points,Predicted Point,Loss
[1. 1.],[1.         0.13103866],0.8689613393761283
[2. 2.],[2.         1.30100431],0.6989956869247007
[3. 3.],[3.         2.46327717],0.5367228317410198
[4. 4.],[4.         3.64728464],0.35271535668534915
[5. 5.],[5.         4.71586237],0.28413762839185264
[6. 6.],[6.         5.94268318],0.05731681537466837
[7. 7.],[7.         7.00013861],0.00013861097912748477
[8. 8.],[8.         7.99662228],0.003377715083805022
[9. 9.],[9.        9.0613682],0.061368203913806596
[10. 10.],[10.         10.03712568],0.03712568331624233
[11. 11.],[11.         10.95662459],0.04337540793217265
[12. 12.],[12.         12.06092622],0.06092621804065068
[13. 13.],[13.         13.10607839],0.10607838956013182
[14. 14.],[14.         13.98051719],0.019482805237313272
[15. 15.],[15.         15.01661015],0.016610147672549758
[16. 16.],[16.         16.06354481],0.0635448098771576
[17. 17.],[17.         16.93876462],0.061235384277310345
[18. 18.],[18.         17.99031673],0.009683269434052733
[19. 19.],[19.         18.94650666],0.05349333836311487
[20. 20.],[20.         19.94147076],0.05852923952640765
