Original Points,Predicted Point,Loss
[ 1.  -0.2],[ 1.         10.15163658],10.351636578616967
[2. 0.],[2.         3.95902123],3.9590212272829612
[3.  0.6],[3.         0.48389022],0.11610977685702001
[4.  1.6],[ 4.         -0.61915077],2.2191507712582674
[5. 3.],[ 5.         -0.09405853],3.0940585326756915
[6.  4.8],[6.         1.58185486],3.2181451398841485
[7. 7.],[7.         4.00925413],2.9907458652805197
[8.  9.6],[8.        7.1422424],2.4577576027852244
[ 9.  12.6],[ 9.         10.48452174],2.115478255897383
[10. 16.],[10.         14.25713675],1.7428632526526098
[11.  19.8],[11.         18.20064423],1.5993557665977889
[12. 24.],[12.         22.60669969],1.3933003124205072
[13.  28.6],[13.         27.34264458],1.257355421222151
[14.  33.6],[14.         32.43464528],1.1653547242518272
[15. 39.],[15.         37.86858057],1.1314194290364625
[16.  44.8],[16.         43.62430005],1.1756999473288374
[17. 51.],[17.         49.82731076],1.1726892449420774
[18.  57.6],[18.         56.41631955],1.1836804489531119
[19.  64.6],[19.         63.45431753],1.145682467044736
[20. 72.],[20.         70.85176629],1.1482337091009072
