Original Points,Predicted Point,Loss
[1.         0.19866933],[1.         0.27607901],0.07740968003471693
[2.         0.38941834],[2.         0.46871294],0.07929460228359642
[3.         0.56464247],[3.         0.57516347],0.010520995436673064
[4.         0.71735609],[4.         0.76051649],0.04316040232429097
[5.         0.84147098],[5.         0.81409283],0.027378152292943603
[6.         0.93203909],[6.         0.88718217],0.04485691417270565
[7.         0.98544973],[7.         0.93738719],0.048062543955891934
[8.        0.9995736],[8.        0.9667541],0.032819506132890974
[9.         0.97384763],[9.         1.06401514],0.09016751016275149
[10.          0.90929743],[10.          1.03285239],0.12355496368098096
[11.         0.8084964],[11.          0.96926966],0.16077325810635212
[12.          0.67546318],[12.          0.81391957],0.13845638824124873
[13.          0.51550137],[13.          0.66302737],0.1475259999328743
[14.          0.33498815],[14.          0.48812468],0.15313653298353802
[15.          0.14112001],[15.          0.25341055],0.11229054313532841
[16.         -0.05837414],[1.60000000e+01 1.20460294e-02],0.07042017283543905
[17.        -0.2555411],[17.         -0.25903012],0.003489016827817326
[18.         -0.44252044],[18.        -0.4302289],0.012291540712615123
[19.         -0.61185789],[19.         -0.64155156],0.029693673721105318
[20.        -0.7568025],[20.         -0.74460147],0.012201026424663697
