Original Points,Predicted Point,Loss
[1. 2.],[1.         1.03381654],0.9661834594485128
[2. 1.],[2.         1.15769518],0.15769517922781495
[3.         0.66666667],[3.         1.07193092],0.4052642570066437
[4.  0.5],[4.         0.84124061],0.3412406068302526
[5.  0.4],[5.         0.62459025],0.22459024556268048
[6.         0.33333333],[6.         0.40894415],0.07561081943468656
[7.         0.28571429],[7.         0.27810922],0.007605060895624793
[8.   0.25],[8.         0.17247322],0.07752678328784765
[9.         0.22222222],[9.         0.14385883],0.07836339338818141
[10.   0.2],[10.          0.04816469],0.15183530713936294
[11.          0.18181818],[11.         0.0613999],0.12041827982041443
[12.          0.16666667],[12.          0.03558906],0.13107760658334122
[13.          0.15384615],[13.          0.13622669],0.01761946053394353
[14.          0.14285714],[14.         0.0926686],0.05018854470213066
[15.          0.13333333],[15.          0.10434893],0.028984406948768568
[16.     0.125],[16.          0.11953768],0.0054623208204304385
[17.          0.11764706],[17.          0.24560143],0.12795436791198964
[18.          0.11111111],[18.         0.2828209],0.17170978813651216
[19.          0.10526316],[19.          0.22473708],0.11947392078923724
[20.   0.1],[20.          0.13280414],0.032804139029296436
