Original Points,Predicted Point,Loss
[1.  0.2],[ 1.         38.20366165],38.003661654509436
[2.  0.1],[ 2.         16.15336448],16.053364479388637
[3.         0.06666667],[3.         2.76909348],2.7024268094439536
[4.   0.05],[ 4.         -4.27529536],4.3252953608933655
[5.   0.04],[ 5.         -7.04467992],7.084679920211365
[6.         0.03333333],[ 6.         -7.36029544],7.3936287721339005
[7.         0.02857143],[ 7.         -6.37589483],6.404466260825404
[8.    0.025],[ 8.         -4.87920398],4.904203977082099
[9.         0.02222222],[ 9.         -3.47919211],3.5014143367354733
[10.    0.02],[10.         -2.12158164],2.1415816382988324
[11.          0.01818182],[11.      -1.14103],1.1592118140371952
[12.          0.01666667],[12.         -0.46027578],0.4769424469842292
[13.          0.01538462],[13.         -0.11540185],0.13078646498410923
[14.          0.01428571],[14.         0.1598406],0.1455548877848091
[1.50000000e+01 1.33333333e-02],[15.          0.30209721],0.2887638809562141
[1.60e+01 1.25e-02],[16.          0.33449538],0.32199538432704494
[1.70000000e+01 1.17647059e-02],[17.          0.23090735],0.21914264076561202
[1.80000000e+01 1.11111111e-02],[18.          0.18131241],0.170201303646233
[1.90000000e+01 1.05263158e-02],[19.          0.05953377],0.04900745283857778
[2.e+01 1.e-02],[20.          0.04112418],0.031124182190346787
