Original Points,Predicted Point,Loss
[1.         0.98006658],[1.         0.09884341],0.8812231656549508
[2.         0.92106099],[2.        0.6008916],0.3201693923668084
[3.         0.82533561],[3.         0.83116372],0.005828104101857301
[4.         0.69670671],[4.        0.9687259],0.27201918836938055
[5.         0.54030231],[5.         0.87897168],0.3386693740150617
[6.         0.36235775],[6.         0.69161969],0.3292619396575953
[7.         0.16996714],[7.         0.49606717],0.32610002511076297
[ 8.         -0.02919952],[8.        0.2010169],0.2302164181107576
[ 9.         -0.22720209],[ 9.         -0.11155564],0.11564645349381363
[10.         -0.41614684],[10.         -0.44797326],0.03182642337419922
[11.         -0.58850112],[11.         -0.58815887],0.0003422481503397856
[12.         -0.73739372],[12.         -0.72538158],0.012012134057611035
[13.         -0.85688875],[13.        -0.9473756],0.09048685043618998
[14.         -0.94222234],[14.         -1.13100937],0.18878703173989275
[15.        -0.9899925],[15.         -1.11468792],0.12469542263584743
[16.         -0.99829478],[16.         -1.12552299],0.127228213745592
[17.         -0.96679819],[17.         -1.09880677],0.13200857620361783
[18.         -0.89675842],[18.         -1.08025319],0.18349477649556534
[19.         -0.79096771],[19.         -0.88251507],0.09154735521596025
[20.         -0.65364362],[20.         -0.74048086],0.08683723676614474
