Original Points,Predicted Point,Loss
[1. 1.],[1.         0.12163326],0.8783667353792222
[2. 2.],[2.         1.19697489],0.803025106366932
[3. 3.],[3.         2.43548198],0.5645180246966865
[4. 4.],[4.         3.64801415],0.3519858486825411
[5. 5.],[5.         4.78285751],0.21714248515521106
[6. 6.],[6.         5.75172513],0.24827487206683507
[7. 7.],[7.         6.82569807],0.17430192980213022
[8. 8.],[8.         7.97523665],0.02476334628841048
[9. 9.],[9.         8.95495414],0.04504585607698175
[10. 10.],[10.         10.06062953],0.06062953354481415
[11. 11.],[11.         10.93412715],0.06587284618711564
[12. 12.],[12.         11.90524658],0.09475341647831215
[13. 13.],[13.         12.98198871],0.018011291222460812
[14. 14.],[14.         14.03341712],0.033417115087985394
[15. 15.],[15.         15.07403309],0.07403308692078348
[16. 16.],[16.         15.96602567],0.03397433175742748
[17. 17.],[17.         16.98063651],0.01936349488019573
[18. 18.],[18.         18.02861893],0.02861892837187341
[19. 19.],[19.         19.08373956],0.08373956147208261
[20. 20.],[20.         19.98392291],0.016077086877015034
