Original Points,Predicted Point,Loss
[ 1.  -0.2],[ 1.         10.17291871],10.372918708280817
[2. 0.],[2.         3.81352615],3.813526148844887
[3.  0.6],[3.         0.41255998],0.18744001824266643
[4.  1.6],[ 4.         -0.69220105],2.292201052368739
[5. 3.],[ 5.         -0.23046476],3.2304647562931277
[6.  4.8],[6.         1.47195573],3.328044274372171
[7. 7.],[7.         3.88787549],3.1121245081486126
[8.  9.6],[8.         6.94076905],2.6592309518895405
[ 9.  12.6],[ 9.         10.37075276],2.22924723609475
[10. 16.],[10.         14.13841071],1.8615892858744143
[11.  19.8],[11.         18.24305042],1.5569495848003996
[12. 24.],[12.         22.61560878],1.3843912231060713
[13.  28.6],[13.         27.40737874],1.1926212568305665
[14.  33.6],[14.         32.37994111],1.2200588888238215
[15. 39.],[15.         37.72729302],1.2727069786865925
[16.  44.8],[16.         43.51742695],1.2825730505850927
[17. 51.],[17.         49.63191268],1.3680873232710198
[18.  57.6],[18.         56.15299555],1.4470044545784404
[19.  64.6],[19.         63.20072704],1.399272959624824
[20. 72.],[20.         70.66366994],1.336330058549791
