Original Points,Predicted Point,Loss
[1.         0.19866933],[1.         0.08456862],0.1141007146444545
[2.         0.38941834],[2.         0.43576679],0.04634845255988729
[3.         0.56464247],[3.         0.48632629],0.0783161878952719
[4.         0.71735609],[4.         0.70750067],0.00985541691349523
[5.         0.84147098],[5.         0.77025798],0.07121300733188618
[6.         0.93203909],[6.         1.03077931],0.0987402193812803
[7.         0.98544973],[7.        1.1212342],0.13578446639646025
[8.        0.9995736],[8.        1.0888718],0.08929819338405276
[9.         0.97384763],[9.         1.01287951],0.03903187530395824
[10.          0.90929743],[10.          0.98650348],0.07720605268644432
[11.         0.8084964],[11.          0.82746893],0.01897252467392674
[12.          0.67546318],[12.          0.81171752],0.13625433819078392
[13.          0.51550137],[13.          0.58750436],0.07200298760023871
[14.          0.33498815],[14.          0.35286821],0.017880055640085657
[15.          0.14112001],[15.          0.21217484],0.07105482932822363
[16.         -0.05837414],[16.          0.07390498],0.13227912145915585
[17.        -0.2555411],[17.         -0.24399943],0.011541673290735521
[18.         -0.44252044],[18.         -0.48794448],0.04542403391711636
[19.         -0.61185789],[19.         -0.59501102],0.016846873767154658
[20.        -0.7568025],[20.         -0.64779607],0.10900642894247514
