Original Points,Predicted Point,Loss
[1.  0.4],[1.         0.16275671],0.23724328927039373
[2.  0.2],[2.         0.23511112],0.03511111765479094
[3.         0.13333333],[3.         0.27520809],0.14187475917542255
[4.  0.1],[4.         0.24261146],0.14261145721953372
[5.   0.08],[5.         0.07778109],0.002218914337672448
[6.         0.06666667],[6.         0.07482384],0.008157174492693584
[7.         0.05714286],[ 7.         -0.07444919],0.13159204862882884
[8.   0.05],[ 8.         -0.06220227],0.11220226518747783
[9.         0.04444444],[ 9.         -0.05497287],0.09941731540055304
[10.    0.04],[ 1.0000000e+01 -4.8827194e-03],0.04488271940251624
[11.          0.03636364],[11.          0.08840596],0.052042328334241765
[12.          0.03333333],[12.          0.08468043],0.05134709578350038
[13.          0.03076923],[ 1.30000000e+01 -8.92330916e-03],0.03969253992917411
[14.          0.02857143],[14.         -0.06695155],0.0955229812505709
[15.          0.02666667],[1.50000000e+01 3.01844644e-04],0.0263648220227977
[16.     0.025],[16.          0.07265527],0.047655271389658034
[17.          0.02352941],[17.          0.07973953],0.05621011414939092
[18.          0.02222222],[18.          0.11238527],0.09016304401001442
[19.          0.02105263],[19.          0.11508773],0.09403509360349009
[20.    0.02],[20.          0.07246947],0.05246946997912373
