Original Points,Predicted Point,Loss
[1.  0.2],[ 1.         38.03528899],37.835288991903575
[2.  0.1],[ 2.         15.98588164],15.885881644456218
[3.         0.06666667],[3.         2.63948436],2.57281768927013
[4.   0.05],[ 4.         -4.31720578],4.367205776667829
[5.   0.04],[ 5.         -7.10614478],7.1461447832607075
[6.         0.03333333],[ 6.         -7.31949484],7.352828174059251
[7.         0.02857143],[ 7.         -6.27228827],6.300859698214596
[8.    0.025],[ 8.         -4.78788936],4.812889362940616
[9.         0.02222222],[ 9.         -3.27197978],3.294202005432165
[10.    0.02],[10.         -2.05528306],2.075283060582727
[11.          0.01818182],[11.        -1.0610919],1.0792737211962442
[12.          0.01666667],[12.         -0.40227664],0.4189433093542601
[13.          0.01538462],[13.         -0.01741098],0.03279559359961001
[14.          0.01428571],[14.          0.25360403],0.23931831142739662
[1.50000000e+01 1.33333333e-02],[15.         0.2514275],0.23809417003482294
[1.60e+01 1.25e-02],[16.         0.2871335],0.27463350433570277
[1.70000000e+01 1.17647059e-02],[17.          0.21531475],0.2035500425070439
[1.80000000e+01 1.11111111e-02],[18.         0.1880454],0.17693429017881993
[1.90000000e+01 1.05263158e-02],[19.          0.06709839],0.05657207071572765
[2.e+01 1.e-02],[ 2.00000000e+01 -1.53980743e-02],0.025398074270237526
