Original Points,Predicted Point,Loss
[1.         0.98006658],[1.         0.05041332],0.9296532571595416
[2.         0.92106099],[2.         0.60154543],0.31951556667441317
[3.         0.82533561],[3.         0.96304855],0.13771293513787308
[4.         0.69670671],[4.         0.95634555],0.2596388421991943
[5.         0.54030231],[5.         0.91440562],0.3741033135631815
[6.         0.36235775],[6.         0.67330583],0.3109480742290509
[7.         0.16996714],[7.         0.30776951],0.13780236416141675
[ 8.         -0.02919952],[8.         0.09475504],0.12395455904484604
[ 9.         -0.22720209],[ 9.         -0.09337214],0.13382995090790217
[10.         -0.41614684],[10.         -0.39715527],0.01899156358595394
[11.         -0.58850112],[11.         -0.59630383],0.007802716503531815
[12.         -0.73739372],[12.         -0.77865306],0.04125934222498184
[13.         -0.85688875],[13.         -0.95003549],0.09314673817832098
[14.         -0.94222234],[14.         -0.94545544],0.003233098916095689
[15.        -0.9899925],[15.        -1.0861955],0.09620299843488622
[16.         -0.99829478],[16.         -1.10777171],0.1094769297388607
[17.         -0.96679819],[17.         -1.07220767],0.10540947901025977
[18.         -0.89675842],[18.         -0.98333017],0.08657175317511367
[19.         -0.79096771],[19.         -0.87162307],0.08065535488283126
[20.         -0.65364362],[20.         -0.74203044],0.0883868157456641
