Original Points,Predicted Point,Loss
[1. 1.],[1.         0.20200568],0.79799432001518
[2. 2.],[2.         1.36613963],0.633860374901674
[3. 3.],[3.         2.53723715],0.46276285120311966
[4. 4.],[4.         3.70413272],0.29586728033988763
[5. 5.],[5.         4.83834427],0.16165573486193985
[6. 6.],[6.         5.93100062],0.06899938033647324
[7. 7.],[7.         7.01503644],0.015036443686231138
[8. 8.],[8.         7.97619075],0.02380925212937335
[9. 9.],[9.         9.10458847],0.10458846541157563
[10. 10.],[10.         10.06376385],0.0637638526256552
[11. 11.],[11.         11.10206986],0.10206985922679301
[12. 12.],[12.         12.11294296],0.11294295698631096
[13. 13.],[13.         13.01641915],0.016419150829337426
[14. 14.],[14.         14.04915175],0.049151747324422956
[15. 15.],[15.        14.9453596],0.05464039509877594
[16. 16.],[16.         15.89697378],0.10302622028412856
[17. 17.],[17.         16.90289319],0.09710681365082507
[18. 18.],[18.         18.01259223],0.012592233907337658
[19. 19.],[19.         18.98073599],0.019264013996860285
[20. 20.],[20.         19.95410494],0.04589506166516699
