Original Points,Predicted Point,Loss
[ 1.  -0.2],[ 1.         10.21242717],10.412427166459263
[2. 0.],[2.         3.90855017],3.9085501737021016
[3.  0.6],[3.         0.52458995],0.07541004685840047
[4.  1.6],[ 4.         -0.71302364],2.3130236412500538
[5. 3.],[ 5.         -0.25878695],3.258786951559546
[6.  4.8],[6.         1.43710911],3.3628908933055834
[7. 7.],[7.         3.93338662],3.0666133816581214
[8.  9.6],[8.         6.91763134],2.6823686572430665
[ 9.  12.6],[ 9.         10.29933482],2.300665175703431
[10. 16.],[10.         14.01635168],1.9836483248340535
[11.  19.8],[11.         18.13450063],1.6654993686871826
[12. 24.],[12.         22.55685342],1.443146582447831
[13.  28.6],[13.         27.32241831],1.2775816914920526
[14.  33.6],[14.        32.4040327],1.1959672998057655
[15. 39.],[15.         37.79219969],1.207800307036635
[16.  44.8],[16.         43.59944719],1.2005528107218808
[17. 51.],[17.         49.79250632],1.2074936832648717
[18.  57.6],[18.         56.33893657],1.261063434070067
[19.  64.6],[19.         63.37166946],1.2283305447832689
[20. 72.],[20.         70.83099429],1.1690057068357902
