Original Points,Predicted Point,Loss
[1.         0.19866933],[1.         0.16044417],0.03822516315042673
[2.         0.38941834],[2.         0.32381114],0.06560719814580757
[3.         0.56464247],[3.         0.54677436],0.017868113066905056
[4.         0.71735609],[4.         0.76011867],0.042762576701551924
[5.         0.84147098],[5.         0.78796408],0.0535069050791287
[6.         0.93203909],[6.       0.975629],0.04358991340710405
[7.         0.98544973],[7.         1.00852631],0.023076583693894204
[8.        0.9995736],[8.         1.01399565],0.014422050224208394
[9.         0.97384763],[9.         1.03771641],0.0638687764310093
[10.          0.90929743],[10.          1.05590742],0.14660998849830031
[11.         0.8084964],[11.          0.88083843],0.07234202597908368
[12.          0.67546318],[12.          0.82119328],0.14573010241688145
[13.          0.51550137],[13.          0.62734794],0.11184657208092186
[14.          0.33498815],[14.          0.44154982],0.10656166537976969
[15.          0.14112001],[15.          0.27022962],0.12910961449046213
[16.         -0.05837414],[16.         0.0649863],0.12336044528742571
[17.        -0.2555411],[17.         -0.22414745],0.03139364811322737
[18.         -0.44252044],[18.         -0.37431914],0.06820129920436774
[19.         -0.61185789],[19.         -0.55698396],0.054873934896356946
[20.        -0.7568025],[20.         -0.71845173],0.03835076204815402
