Original Points,Predicted Point,Loss
[1.  0.4],[1.       0.327157],0.07284299570515307
[2.  0.2],[2.         0.27952501],0.07952501194324307
[3.         0.13333333],[3.         0.16574355],0.03241022144025957
[4.  0.1],[4.         0.17436922],0.07436922294170359
[5.   0.08],[5.         0.13539472],0.05539471502230149
[6.         0.06666667],[6.         0.06122656],0.00544010760219199
[7.         0.05714286],[7.         0.06636939],0.009226529902820663
[8.   0.05],[8.         0.12546777],0.07546776735582762
[9.         0.04444444],[9.         0.06883158],0.024387133109570254
[10.    0.04],[10.          0.10229693],0.06229692774621718
[11.          0.03636364],[11.          0.07789539],0.04153175851011643
[12.          0.03333333],[12.          0.02804669],0.00528664154544508
[13.          0.03076923],[13.         -0.12525476],0.15602398719798521
[14.          0.02857143],[14.         -0.04496556],0.07353699054148183
[15.          0.02666667],[15.          0.05485157],0.028184903146981067
[16.     0.025],[16.          0.06069198],0.035691977644486714
[17.          0.02352941],[17.         0.0982056],0.07467618944704975
[18.          0.02222222],[18.          0.16301349],0.14079126576888598
[19.          0.02105263],[19.          0.12356299],0.1025103562010645
[20.    0.02],[20.          0.11844356],0.09844356058300562
