Original Points,Predicted Point,Loss
[1.  0.2],[ 1.         38.09152851],37.89152851264844
[2.  0.1],[ 2.         16.01535548],15.915355477134566
[3.         0.06666667],[3.         2.64998183],2.583315163376902
[4.   0.05],[ 4.         -4.40046283],4.4504628252583025
[5.   0.04],[ 5.         -7.21314229],7.2531422888017305
[6.         0.03333333],[ 6.         -7.44913515],7.48246848604717
[7.         0.02857143],[ 7.         -6.41217922],6.440750646992634
[8.    0.025],[ 8.         -4.88167393],4.906673932176267
[9.         0.02222222],[ 9.         -3.35301747],3.3752396909044458
[10.    0.02],[10.         -2.12137779],2.1413777907537708
[11.          0.01818182],[11.        -1.1068525],1.1250343213411536
[12.          0.01666667],[12.         -0.50173479],0.518401457753153
[13.          0.01538462],[13.         -0.07929192],0.09467653540347085
[14.          0.01428571],[14.          0.20148431],0.1871985996348453
[1.50000000e+01 1.33333333e-02],[15.          0.28558792],0.2722545866924299
[1.60e+01 1.25e-02],[16.          0.27120132],0.2587013239586648
[1.70000000e+01 1.17647059e-02],[17.          0.19855526],0.18679055800389038
[1.80000000e+01 1.11111111e-02],[18.          0.11257131],0.10146019489563284
[1.90000000e+01 1.05263158e-02],[19.          0.06982631],0.059299994864952264
[2.e+01 1.e-02],[20.          0.17044956],0.1604495629082263
