Original Points,Predicted Point,Loss
[1.         0.98006658],,
[2.         0.92106099],,
[3.         0.82533561],,
[4.         0.69670671],,
[5.         0.54030231],,
[6.         0.36235775],,
[7.         0.16996714],,
[ 8.         -0.02919952],,
[ 9.         -0.22720209],,
[10.         -0.41614684],,
[11.         -0.58850112],,
[12.         -0.73739372],,
[13.         -0.85688875],,
[14.         -0.94222234],,
[15.        -0.9899925],,
[16.         -0.99829478],,
[17.         -0.96679819],,
[18.         -0.89675842],,
[19.         -0.79096771],,
[20.         -0.65364362],,
,[19.99993819 -0.61469353],0.0007585565326735377
