Original Points,Predicted Point,Loss
[1.         0.19866933],,
[2.         0.38941834],,
[3.         0.56464247],,
[4.         0.71735609],,
[5.         0.84147098],,
[6.         0.93203909],,
[7.         0.98544973],,
[8.        0.9995736],,
[9.         0.97384763],,
[10.          0.90929743],,
[11.         0.8084964],,
[12.          0.67546318],,
[13.          0.51550137],,
[14.          0.33498815],,
[15.          0.14112001],,
[16.         -0.05837414],,
[17.        -0.2555411],,
[18.         -0.44252044],,
[19.         -0.61185789],,
[20.        -0.7568025],,
,[19.99999404 -0.55561954],0.020237291231751442
