Original Points,Predicted Point,Loss
[1. 2.],,
[2. 1.],,
[3.         0.66666667],,
[4.  0.5],,
[5.  0.4],,
[6.         0.33333333],,
[7.         0.28571429],,
[8.   0.25],,
[9.         0.22222222],,
[10.   0.2],,
[11.          0.18181818],,
[12.          0.16666667],,
[13.          0.15384615],,
[14.          0.14285714],,
[15.          0.13333333],,
[16.     0.125],,
[17.          0.11764706],,
[18.          0.11111111],,
[19.          0.10526316],,
[20.   0.1],,
,[19.99999535  0.2464932 ],0.010730130597949028
