Original Points,Predicted Point,Loss
[0.5        0.87758256],,
[0.65789474 0.79128125],,
[0.81578947 0.68529366],,
[0.97368421 0.56225665],,
[1.13157895 0.42523126],,
[1.28947368 0.27762654],,
[1.44736842 0.12311475],,
[ 1.60526316 -0.03446001],,
[ 1.76315789 -0.19117744],,
[ 1.92105263 -0.34313856],,
[ 2.07894737 -0.48656275],,
[ 2.23684211 -0.61788174],,
[ 2.39473684 -0.73382845],,
[ 2.55263158 -0.83151825],,
[ 2.71052632 -0.90852071],,
[ 2.86842105 -0.96292008],,
[ 3.02631579 -0.99336298],,
[ 3.18421053 -0.999092  ],,
[ 3.34210526 -0.97996461],,
[ 3.5        -0.93645669],,
,[ 3.65789473 -1.01040805],0.006898341700434685
