Original Points,Predicted Point,Loss
[ 0.5  -0.75],,
[ 0.65789474 -0.88296399],,
[ 0.81578947 -0.96606648],,
[ 0.97368421 -0.99930748],,
[ 1.13157895 -0.98268698],,
[ 1.28947368 -0.91620499],,
[ 1.44736842 -0.7998615 ],,
[ 1.60526316 -0.63365651],,
[ 1.76315789 -0.41759003],,
[ 1.92105263 -0.15166205],,
[2.07894737 0.16412742],,
[2.23684211 0.52977839],,
[2.39473684 0.94529086],,
[2.55263158 1.41066482],,
[2.71052632 1.92590028],,
[2.86842105 2.49099723],,
[3.02631579 3.10595568],,
[3.18421053 3.77077562],,
[3.34210526 4.48545706],,
[3.5  5.25],,
,[3.65789473 5.53224301],0.1163066104054451
