Original Points,Predicted Point,Loss
[0.5        0.47942554],,
[0.65789474 0.61145235],,
[0.81578947 0.72826685],,
[0.97368421 0.82696279],,
[1.13157895 0.90508474],,
[1.28947368 0.96068908],,
[1.44736842 0.99239244],,
[1.60526316 0.99940608],,
[1.76315789 0.98155549],,
[1.92105263 0.9392848 ],,
[2.07894737 0.87364563],,
[2.23684211 0.78627105],,
[2.39473684 0.67933483],,
[2.55263158 0.55549744],,
[2.71052632 0.41783983],,
[2.86842105 0.26978679],,
[3.02631579 0.11502172],,
[ 3.18421053 -0.04260497],,
[ 3.34210526 -0.1991717 ],,
[ 3.5        -0.35078323],,
,[ 3.65789473 -0.43400551],0.0023385449312627316
