Original Points,Predicted Point,Loss
[ 0.5 20. ],,
[ 0.65789474 15.2       ],,
[ 0.81578947 12.25806452],,
[ 0.97368421 10.27027027],,
[1.13157895 8.8372093 ],,
[1.28947368 7.75510204],,
[1.44736842 6.90909091],,
[1.60526316 6.2295082 ],,
[1.76315789 5.67164179],,
[1.92105263 5.20547945],,
[2.07894737 4.81012658],,
[2.23684211 4.47058824],,
[2.39473684 4.17582418],,
[2.55263158 3.91752577],,
[2.71052632 3.68932039],,
[2.86842105 3.48623853],,
[3.02631579 3.30434783],,
[3.18421053 3.14049587],,
[3.34210526 2.99212598],,
[3.5        2.85714286],,
,[3.65789473 2.69919901],0.0002635973796714097
