Original Points,Predicted Point,Loss
[0.5 0.5],,
[0.65789474 0.65789474],,
[0.81578947 0.81578947],,
[0.97368421 0.97368421],,
[1.13157895 1.13157895],,
[1.28947368 1.28947368],,
[1.44736842 1.44736842],,
[1.60526316 1.60526316],,
[1.76315789 1.76315789],,
[1.92105263 1.92105263],,
[2.07894737 2.07894737],,
[2.23684211 2.23684211],,
[2.39473684 2.39473684],,
[2.55263158 2.55263158],,
[2.71052632 2.71052632],,
[2.86842105 2.86842105],,
[3.02631579 3.02631579],,
[3.18421053 3.18421053],,
[3.34210526 3.34210526],,
[3.5 3.5],,
,[3.65789473 3.64654317],6.442891026381403e-05
