Original Points,Predicted Point,Loss
[0.5 4. ],,
[0.65789474 3.04      ],,
[0.81578947 2.4516129 ],,
[0.97368421 2.05405405],,
[1.13157895 1.76744186],,
[1.28947368 1.55102041],,
[1.44736842 1.38181818],,
[1.60526316 1.24590164],,
[1.76315789 1.13432836],,
[1.92105263 1.04109589],,
[2.07894737 0.96202532],,
[2.23684211 0.89411765],,
[2.39473684 0.83516484],,
[2.55263158 0.78350515],,
[2.71052632 0.73786408],,
[2.86842105 0.69724771],,
[3.02631579 0.66086957],,
[3.18421053 0.62809917],,
[3.34210526 0.5984252 ],,
[3.5        0.57142857],,
,[3.65789473 0.49817138],0.0010700199054554105
