Original Points,Predicted Point,Loss
[0.5 2. ],,
[0.65789474 1.52      ],,
[0.81578947 1.22580645],,
[0.97368421 1.02702703],,
[1.13157895 0.88372093],,
[1.28947368 0.7755102 ],,
[1.44736842 0.69090909],,
[1.60526316 0.62295082],,
[1.76315789 0.56716418],,
[1.92105263 0.52054795],,
[2.07894737 0.48101266],,
[2.23684211 0.44705882],,
[2.39473684 0.41758242],,
[2.55263158 0.39175258],,
[2.71052632 0.36893204],,
[2.86842105 0.34862385],,
[3.02631579 0.33043478],,
[3.18421053 0.31404959],,
[3.34210526 0.2992126 ],,
[3.5        0.28571429],,
,[3.65789473 0.23330321],0.000757101399358362
